"Date","Various bitcoin currency statistics"
"2016-01-02",433.94
"2016-01-03",428.13
"2016-01-04",433
"2016-01-05",431.9
"2016-01-06",430.75
"2016-01-07",453.71
"2016-01-08",447.04
"2016-01-09",450.15
"2016-01-10",446.24
"2016-01-11",447.11
"2016-01-12",446.66
"2016-01-13",429.57
"2016-01-14",431.9
"2016-01-15",391.62
"2016-01-16",370.4
"2016-01-17",385.45
"2016-01-18",385.28
"2016-01-19",378.66
"2016-01-20",408.33
"2016-01-21",408
"2016-01-22",385.7
"2016-01-23",388.5
"2016-01-24",404.75
"2016-01-25",387.09
"2016-01-26",394.12
"2016-01-27",394.45
"2016-01-28",382.44
"2016-01-29",377.26
"2016-01-30",378.24
"2016-01-31",376.86
"2016-02-01",372
"2016-02-02",373.48
"2016-02-03",368.38
"2016-02-04",385.06
"2016-02-05",386.49
"2016-02-06",373.04
"2016-02-07",373.74
"2016-02-08",375.8
"2016-02-09",372.61
"2016-02-10",378.98
"2016-02-11",376.75
"2016-02-12",381.46
"2016-02-13",388.6
"2016-02-14",402.38
"2016-02-15",402.64
"2016-02-16",406.69
"2016-02-17",418.04
"2016-02-18",418.97
"2016-02-19",418.02
"2016-02-20",439.48
"2016-02-21",434.67
"2016-02-22",438.5
"2016-02-23",417
"2016-02-24",423.1
"2016-02-25",421.4
"2016-02-26",424.34
"2016-02-27",432
"2016-02-28",433.47
"2016-02-29",436.18
"2016-03-01",431.87
"2016-03-02",429.99
"2016-03-03",421.44
"2016-03-04",416.48
"2016-03-05",401
"2016-03-06",408.86
"2016-03-07",411.94
"2016-03-08",412.39
"2016-03-09",411.1

Various bitcoin currency statistics

